State,District,PC1,PC2,PC3,Cluster_ID
Jammu And Kashmir,Kupwara,-1.4761649627795097,-0.3688640457913796,-0.0130209975445821,2
Jammu And Kashmir,Badgam,-1.5744107719559133,-0.2963015263499621,-0.006776499906721,2
Jammu And Kashmir,Leh(Ladakh),-1.9317537033866157,-0.0351180784284515,0.0378597874752874,2
Jammu And Kashmir,Kargil,-1.9330519709664344,-0.0340353261803166,0.0369523505180672,2
Jammu And Kashmir,Punch,-1.7158669684319812,-0.1933495036489089,0.0144005289529433,2
Jammu And Kashmir,Rajouri,-1.6004033321279525,-0.2782296434177354,0.0038719013117111,2
Jammu And Kashmir,Kathua,-1.5966749126697382,-0.281408691497055,0.0070337622206275,2
Jammu And Kashmir,Baramula,-1.369348153098936,-0.4476044359057502,-0.0210290516748804,2
Jammu And Kashmir,Bandipore,-1.787299055013336,-0.140588573930799,0.0189205702224543,2
Jammu And Kashmir,Srinagar,-1.176919265966095,-0.5897233047719073,-0.0333038741390969,2
Jammu And Kashmir,Ganderbal,-1.8449534726702417,-0.0983747548080233,0.0255311997666344,2
Jammu And Kashmir,Pulwama,-1.6678963324947076,-0.2284066872864839,0.0083704356130648,2
Jammu And Kashmir,Shupiyan,-1.8600786806261664,-0.0873893006358976,0.0279769121434817,2
Jammu And Kashmir,Anantnag,-1.3430633510418937,-0.4664660020437999,-0.0271101986782976,2
Jammu And Kashmir,Kulgam,-1.7631303260438378,-0.1583892804350521,0.0169859095072891,2
Jammu And Kashmir,Doda,-1.7631940045676149,-0.1585446738161479,0.0186076361686862,2
Jammu And Kashmir,Ramban,-1.8602190555615443,-0.087038531029358,0.0260112058439008,2
Jammu And Kashmir,Kishtwar,-1.888578789206544,-0.0663633192237679,0.0299775072495175,2
Jammu And Kashmir,Udhampur,-1.6548391433711376,-0.2383435683350697,0.0098827088770967,2
Jammu And Kashmir,Reasi,-1.8347399882512585,-0.1058469260824716,0.0243120977357521,2
Jammu And Kashmir,Jammu,-0.8624911476415197,-0.8230740400608229,-0.0443384289796633,2
Jammu And Kashmir,Samba,-1.791994264469683,-0.1380686186978881,0.0267936447558616,2
Himachal Pradesh,Chamba,-1.660610183189054,-0.2312512499501683,0.1098736952167146,2
Himachal Pradesh,Kangra,-0.8549082859680418,-0.8258422563825359,0.0547845447859719,2
Himachal Pradesh,Lahul AND Spiti,-2.0008584977042427,0.0188794065835541,0.1408530436061219,2
Himachal Pradesh,Kullu,-1.69915871234742,-0.2032755254581892,0.1162836149118867,2
Himachal Pradesh,Mandi,-1.270915382904093,-0.5188184721827984,0.0830742562425152,2
Himachal Pradesh,Hamirpur,-1.6661736108901704,-0.227949431343592,0.116678241012569,2
Himachal Pradesh,Una,-1.619568697511119,-0.2622158358483603,0.1124764434864507,2
Himachal Pradesh,Bilaspur,-1.7304539301144188,-0.1804244684007908,0.1203745493382551,2
Himachal Pradesh,Solan,-1.5824158485369575,-0.289445719380516,0.1084326677527085,2
Himachal Pradesh,Sirmaur,-1.6360382817791848,-0.2496568304351293,0.1103675833239502,2
Himachal Pradesh,Shimla,-1.3984590977518665,-0.4250980277982834,0.0950245229129619,2
Himachal Pradesh,Kinnaur,-1.960835718860124,-0.0106099817555007,0.1377442915702479,2
Punjab,Gurdaspur,-0.1056205499862419,-0.958772512925634,0.0576998084976723,1
Punjab,Kapurthala,-1.2147305281058232,-0.1419369552763805,0.1468337643230553,2
Punjab,Jalandhar,-0.150748175594516,-0.9261578613708208,0.0662881868512422,1
Punjab,Hoshiarpur,-0.5992262271893151,-0.5959647110982322,0.1031394296482736,2
Punjab,Shahid Bhagat Singh Nagar,-1.3629149583712368,-0.0328680458889129,0.1592678897509027,2
Punjab,Fatehgarh Sahib,-1.3739939973124768,-0.0246712471745518,0.159859972059021,2
Punjab,Ludhiana,0.828715859861943,-1.6475768460751383,-0.0119083633873206,1
Punjab,Moga,-1.1208315754454294,-0.2103220056886978,0.1331380820722071,2
Punjab,Firozpur,-0.4211353962102139,-0.7242670667130091,0.0659898386484612,2
Punjab,Muktsar,-1.210164274671917,-0.144172170730484,0.1374545360177741,2
Punjab,Faridkot,-1.3913406620612585,-0.0113287074367871,0.1567221012252478,2
Punjab,Bathinda,-0.8606778642253851,-0.4012916943861826,0.1072128608507333,2
Punjab,Mansa,-1.3127031711627426,-0.0685848979831334,0.1451389860454286,2
Punjab,Patiala,-0.4495280492571288,-0.7046912183511718,0.0789380906083433,2
Punjab,Amritsar,-0.0080568143365712,-1.029760719784185,0.0429434035058402,1
Punjab,Tarn Taran,-1.0547879287527335,-0.2584642554445934,0.1238549330310082,2
Punjab,Rupnagar,-1.3021074270643538,-0.0777773398894511,0.1553868819112573,2
Punjab,Sahibzada Ajit Singh Nagar,-1.0635602491681275,-0.2535880185339885,0.1372215472770231,2
Punjab,Sangrur,-0.6788091862576232,-0.5349061660355321,0.0899766483194013,2
Punjab,Barnala,-1.4108414414654973,0.0030904954642002,0.1578313761226479,2
Chandigarh,Chandigarh,-1.217153502249048,-0.5722506911421172,0.0117330211083757,2
Uttarakhand,Uttarkashi,-1.5897406439484476,0.1323192682163665,0.117476282209634,2
Uttarakhand,Chamoli,-1.5323045930876125,0.0898050197963264,0.1145692919578203,2
Uttarakhand,Rudraprayag,-1.6456073544492225,0.173280745630476,0.1234296606340874,2
Uttarakhand,Tehri Garhwal,-1.380750808309691,-0.0214661147459325,0.0996329089351994,2
Uttarakhand,Dehradun,-0.5309633021292987,-0.6481361518031807,0.03789156501392,2
